Actor_label,Country_label,Kpi_label_corporate,Fact_date,Kpi_value,,,
PBS Passport,USA,SVOD subscribers,2022-12-31,168208,,,
TVision,USA,SVOD subscribers,2021-03-31,42500,,,
C Spire,USA,SVOD subscribers,2021-03-31,125837,,,
C Spire,USA,SVOD subscribers,2021-06-30,122062,,,
C Spire,USA,SVOD subscribers,2021-09-30,118400,,,
C Spire,USA,SVOD subscribers,2021-12-31,114848,,,
C Spire,USA,SVOD subscribers,2022-03-31,111402,,,
C Spire,USA,SVOD subscribers,2022-06-30,108060,,,
C Spire,USA,SVOD subscribers,2022-09-30,104819,,,
C Spire,USA,SVOD subscribers,2022-12-31,101674,,,
NFL Game Pass,USA,SVOD subscribers,2021-03-31,171864,,,
NFL Game Pass,USA,SVOD subscribers,2021-06-30,173582,,,
NFL Game Pass,USA,SVOD subscribers,2021-09-30,175318,,,
NFL Game Pass,USA,SVOD subscribers,2021-12-31,184084,,,
NFL Game Pass,USA,SVOD subscribers,2022-03-31,180402,,,
NFL Game Pass,USA,SVOD subscribers,2022-06-30,176794,,,
Pumpone,USA,SVOD subscribers,2021-03-31,4077,,,
Pumpone,USA,SVOD subscribers,2021-06-30,4159,,,
Pumpone,USA,SVOD subscribers,2021-09-30,4242,,,
Pumpone,USA,SVOD subscribers,2021-12-31,4327,,,
Pumpone,USA,SVOD subscribers,2022-03-31,4413,,,
Pumpone,USA,SVOD subscribers,2022-06-30,4502,,,
Pumpone,USA,SVOD subscribers,2022-09-30,4592,,,
Pumpone,USA,SVOD subscribers,2022-12-31,4683,,,
Smithsonian Earth TV,USA,SVOD subscribers,2021-03-31,3728,,,
Smithsonian Earth TV,USA,SVOD subscribers,2021-06-30,3803,,,
Smithsonian Earth TV,USA,SVOD subscribers,2021-09-30,3879,,,
Smithsonian Earth TV,USA,SVOD subscribers,2021-12-31,3956,,,
Smithsonian Earth TV,USA,SVOD subscribers,2022-03-31,4035,,,
Smithsonian Earth TV,USA,SVOD subscribers,2022-06-30,4116,,,
Smithsonian Earth TV,USA,SVOD subscribers,2022-09-30,4198,,,
Smithsonian Earth TV,USA,SVOD subscribers,2022-12-31,4282,,,
Laugh Out Loud,USA,SVOD subscribers,2021-03-31,11280,,,
Laugh Out Loud,USA,SVOD subscribers,2021-06-30,11506,,,
Laugh Out Loud,USA,SVOD subscribers,2021-09-30,11736,,,
Laugh Out Loud,USA,SVOD subscribers,2021-12-31,11971,,,
Laugh Out Loud,USA,SVOD subscribers,2022-03-31,12210,,,
Laugh Out Loud,USA,SVOD subscribers,2022-06-30,12454,,,
Laugh Out Loud,USA,SVOD subscribers,2022-09-30,12703,,,
Laugh Out Loud,USA,SVOD subscribers,2022-12-31,12957,,,
Rooster Teeth,USA,SVOD subscribers,2021-03-31,279604,,,
Rooster Teeth,USA,SVOD subscribers,2021-06-30,282400,,,
Rooster Teeth,USA,SVOD subscribers,2021-09-30,285224,,,
Rooster Teeth,USA,SVOD subscribers,2021-12-31,288077,,,
Rooster Teeth,USA,SVOD subscribers,2022-03-31,290957,,,
Rooster Teeth,USA,SVOD subscribers,2022-06-30,293867,,,
Rooster Teeth,USA,SVOD subscribers,2022-09-30,296806,,,
Rooster Teeth,USA,SVOD subscribers,2022-12-31,299774,,,
Allblk,USA,SVOD subscribers,2021-03-31,69583,,,
Allblk,USA,SVOD subscribers,2021-06-30,72018,,,
Allblk,USA,SVOD subscribers,2021-09-30,74539,,,
Allblk,USA,SVOD subscribers,2021-12-31,90900,,,
Allblk,USA,SVOD subscribers,2022-03-31,95950,,,
Allblk,USA,SVOD subscribers,2022-06-30,104030,,,
